Description,Data.Protein,Data.Vitamins.Vitamin C,Data.Major Minerals.Calcium,Data.Major Minerals.Iron,Data.Fat.Total Lipid,Data.Sugar Total,Data.Major Minerals.Sodium,Category
"Grapes, seedless, round, black",1.24,22.79,18.75,0.39,0.35,10.88,1.92,Grapes
"Guava, white flesh",1.44,214.0,18.52,0.32,0.32,4.1,2.87,Guava
"Guava, pink flesh",1.19,222.0,14.22,0.4,0.25,7.79,1.89,Guava
"Jack fruit, ripe",2.74,6.73,35.03,0.36,0.15,12.21,1.62,Jack fruit
"Jambu fruit, ripe",0.82,16.47,25.36,0.33,0.17,6.84,2.64,Jambu fruit
Karonda fruit,1.15,135.0,10.81,0.87,1.67,1.75,2.55,Karonda fruit
"Lemon, juice",0.41,48.16,22.68,0.12,0.75,2.59,1.21,Lemon
"Lime, sweet, pulp",0.76,46.96,25.79,0.11,0.2,3.42,1.17,Lime
Litchi,0.99,33.82,5.77,0.79,0.26,9.3,0.54,Litchi
"Mango, ripe, banganapalli",0.54,32.97,15.77,0.51,0.55,7.77,1.34,Mango
"Mango, ripe, gulabkhas",0.52,27.65,19.33,0.38,0.53,8.13,1.39,Mango
"Mango, ripe, himsagar",0.46,49.09,15.54,0.29,0.54,8.06,1.31,Mango
"Mango, ripe, kesar",0.54,29.08,15.74,0.43,0.57,9.0,1.43,Mango
"Mango, ripe, neelam",0.68,29.93,11.36,0.36,0.55,7.94,1.2,Mango
"Mango, ripe, paheri",0.68,30.75,15.11,0.51,0.58,8.48,1.63,Mango
"Mango, ripe, totapari",0.41,25.26,13.34,0.28,0.49,9.24,1.32,Mango
Mangosteen,0.63,26.33,4.69,0.28,0.24,8.91,3.79,Mangosteen
Manila tamarind,3.56,55.78,8.51,0.71,1.14,12.13,1.35,Manila tamarind
"Musk melon, orange flesh",0.42,22.76,9.8,0.18,0.35,2.99,14.94,Musk melon
"Musk melon, yellow flesh",0.53,21.32,9.02,0.21,0.26,2.36,15.78,Musk melon
"Orange, pulp",0.7,42.72,19.52,0.81,0.13,6.86,1.47,Orange
"Palm fruit, tender",0.5,0.25,0.0,0.0,0.12,0.19,1.25,Palm fruit
"Papaya, ripe",0.42,43.09,15.02,0.23,0.16,4.09,6.68,Papaya
Peach,0.86,5.49,6.98,0.35,0.37,6.95,1.15,Peach
Pear,0.36,3.31,6.55,0.28,0.27,7.39,1.64,Pear
Phalsa,1.66,5.11,153.0,2.01,0.14,13.0,1.99,Phalsa
Pineapple,0.52,36.37,10.88,0.28,0.16,8.56,1.43,Pineapple
Plum,0.64,2.26,7.61,0.25,0.4,10.13,1.55,Plum
"Pomegranate, maroon seeds",1.33,12.69,10.65,0.31,0.15,10.87,2.13,Pomegranate
Pummelo,0.68,48.89,14.03,0.06,0.42,4.38,1.06,Pummelo
"Raisins, dried, black",2.57,2.05,73.24,6.81,0.34,61.51,10.99,Raisins
"Raisins, dried, golden",2.76,1.85,51.83,4.26,0.35,57.12,10.16,Raisins
Rambutan,0.68,65.0,8.67,0.37,0.16,15.8,1.75,Rambutan
Sapota,0.92,20.96,17.87,0.49,1.26,12.3,4.61,Sapota
Soursop,0.74,59.54,10.05,0.29,0.94,9.83,6.78,Soursop
Star fruit,0.79,33.55,4.97,0.45,0.39,3.95,1.56,Star fruit
Strawberry,0.97,50.2,15.28,0.36,0.56,3.56,1.19,Strawberry
"Tamarind, pulp",2.92,3.62,149.0,9.16,0.15,52.88,24.92,Tamarind
"Water melon, dark green (sugar baby)",0.6,13.26,5.29,0.22,0.16,3.66,1.89,Water melon
"Water melon, pale green",0.59,11.45,4.35,0.16,0.16,3.0,1.62,Water melon
Wood Apple,3.14,22.17,55.71,0.45,3.62,3.81,1.48,Wood Apple
Zizyphus,1.34,60.93,46.55,0.4,0.35,8.29,1.52,Zizyphus
Beet root,1.95,5.26,17.28,0.76,0.14,4.35,69.44,Beet root
"Carrot, orange",0.95,6.22,35.09,0.6,0.47,3.23,52.33,Carrot
"Carrot, red",1.04,6.76,41.06,0.71,0.47,3.96,60.69,Carrot
Colocasia,3.31,1.83,30.18,0.66,0.17,0.9,4.54,Colocasia
Lotus root,1.94,26.63,37.71,3.34,0.93,0.24,20.63,Lotus root
"Potato, brown skin, big",1.54,23.15,9.52,0.57,0.23,0.32,4.11,Potato
"Potato, brown skin, small",1.35,26.41,8.53,0.53,0.22,0.44,3.97,Potato
"Potato, red skin",1.83,25.04,8.62,0.66,0.22,0.38,4.36,Potato
"Radish, elongate, red skin",0.67,17.63,28.44,0.37,0.13,1.15,24.73,Radish
"Radish, elongate, white skin",0.77,19.91,30.2,0.36,0.15,0.95,28.2,Radish
"Radish, round, red skin",0.89,15.69,35.76,0.42,0.16,0.86,32.27,Radish
"Radish, round, white skin",0.8,14.0,34.23,0.41,0.14,1.16,24.14,Radish
"Sweet potato, brown skin",1.33,17.94,27.5,0.35,0.26,3.63,29.6,Sweet potato
"Sweet potato, pink skin",1.27,22.2,28.93,0.51,0.33,4.03,29.04,Sweet potato
Tapioca,1.03,15.51,25.89,0.81,0.2,2.14,10.86,Tapioca
Water Chestnut,0.86,5.26,37.15,0.77,0.37,1.95,13.08,Water Chestnut
"Yam, elephant",2.56,15.22,46.91,1.22,0.14,1.58,14.33,Yam
"Yam, ordinary",2.18,13.88,16.19,0.77,0.17,1.15,15.28,Yam
"Yam, wild",3.07,14.06,44.13,1.04,0.3,1.54,12.8,Yam
